2458851.2982160002 4.8e-05 0.03429652672 0 1 2
2458851.2982649999 4.8e-05 0.03430133615 0 1 2
2458851.2983129998 4.8e-05 0.03430567424 0 1 2
2458851.2983619999 4.8e-05 0.0343097248 0 1 2
2458851.2984110001 4.8e-05 0.03431339122 0 1 2
2458851.298459 4.8e-05 0.03431661075 0 1 2
2458851.2985080001 4.8e-05 0.03431951683 0 1 2
2458851.2985569998 4.8e-05 0.03432203776 0 1 2
2458851.2986050001 4.8e-05 0.03432413652 0 1 2
2458851.2986539998 4.8e-05 0.03432589791 0 1 2
2458851.2987029999 4.8e-05 0.03432727506 0 1 2
2458851.2987509998 4.8e-05 0.03432825247 0 1 2
2458851.2988 4.8e-05 0.03432886885 0 1 2
2458851.2988490001 4.8e-05 0.0343291006 0 1 2
2458851.298897 4.8e-05 0.03432895625 0 1 2
2458851.2989460002 4.8e-05 0.03432842857 0 1 2
2458851.2989940001 4.8e-05 0.03432753881 0 1 2
2458851.2990430002 4.8e-05 0.03432625067 0 1 2
2458851.2990919999 4.8e-05 0.03417731811 0 1 2
2458851.2991399998 4.8e-05 0.03351050288 0 1 2
2458851.2991889999 4.8e-05 0.03212169536 0 1 2
2458851.2992380001 4.8e-05 0.02992941665 0 1 2
2458851.299286 4.8e-05 0.02677265934 0 1 2
2458851.2993350001 4.8e-05 0.02256552933 0 1 2
2458851.2993839998 4.8e-05 0.01788132023 0 1 2
2458851.2994320001 4.8e-05 0.01355128435 0 1 2
2458851.2994809998 4.8e-05 0.009902788219 0 1 2
2458851.29953 4.8e-05 0.00714143681 0 1 2
2458851.2995779999 4.8e-05 0.005133910031 0 1 2
2458851.299627 4.8e-05 0.003568629186 0 1 2
2458851.2996760001 4.8e-05 0.002344273082 0 1 2
2458851.299724 4.8e-05 0.001423584622 0 1 2
2458851.2997730002 4.8e-05 0.0007823450669 0 1 2
2458851.2998219999 4.8e-05 0.0005104039967 0 1 2
2458851.2998700002 4.8e-05 0.0004786596503 0 1 2
2458851.2999189999 4.8e-05 0.0004785177 0 1 2
2458851.299968 4.8e-05 0.0004783852757 0 0 2
2458851.3000159999 4.8e-05 0.000478264817 0 1 2
2458851.3000650001 4.8e-05 0.0004781512858 0 0 2
2458851.3001140002 4.8e-05 0.0004780473148 0 1 2
2458851.3001620001 4.8e-05 0.000477954786 0 1 2
2458851.3002109998 4.8e-05 0.0004778698339 0 1 2
2458851.3002590002 4.8e-05 0.0004777959056 0 1 2
2458851.3003079998 4.8e-05 0.0004777299175 0 1 2
2458851.300357 4.8e-05 0.0004776734773 0 1 2
2458851.3004049999 4.8e-05 0.0004776274421 0 0 2
2458851.300454 4.8e-05 0.0004775899514 0 1 2
2458851.3005030002 4.8e-05 0.0004775621372 0 1 2
2458851.3005510001 4.8e-05 0.000477544276 0 1 2
2458851.3006000002 4.8e-05 0.000477535546 0 1 2
2458851.3006489999 4.8e-05 0.0004775363273 0 1 2
2458851.3006970002 4.8e-05 0.0004775463221 0 1 2
2458851.3007459999 4.8e-05 0.0004775660457 0 1 2
2458851.300795 4.8e-05 0.0004775954535 0 1 2
2458851.3008429999 4.8e-05 0.0004776336346 0 1 2
2458851.3008920001 4.8e-05 0.0004776821071 0 1 2
2458851.3009410002 4.8e-05 0.0004777401175 0 0 2
2458851.3009890001 4.8e-05 0.0004778062029 0 1 2
2458851.3010379998 4.8e-05 0.0004778831485 0 0 2
2458851.3010869999 4.8e-05 0.0004779696841 0 1 2
2458851.3011349998 4.8e-05 0.0004780637593 0 1 2
2458851.301184 4.8e-05 0.000478169305 0 1 2
2458851.3012330001 4.8e-05 0.0004782844096 0 0 2
2458851.301281 4.8e-05 0.0004784064056 0 0 2
2458851.3013300002 4.8e-05 0.0004785403983 0 0 2
2458851.3013789998 4.8e-05 0.0004786839128 0 1 2
2458851.3014270002 4.8e-05 0.0005363857188 0 1 2
2458851.3014759999 4.8e-05 0.0008644496561 0 1 2
2458851.301525 4.8e-05 0.001556285481 0 1 2
2458851.3015729999 4.8e-05 0.002512189089 0 1 2
2458851.3016220001 4.8e-05 0.003738124559 0 1 2
2458851.30167 4.8e-05 0.005178971784 0 1 2
2458851.3017190001 4.8e-05 0.006944435407 0 1 2
2458851.3017679998 4.8e-05 0.009135834534 0 1 2
2458851.3018160001 4.8e-05 0.01188793409 0 1 2
2458851.3018649998 4.8e-05 0.0154952405 0 1 2
2458851.301914 4.8e-05 0.0198350762 0 1 2
2458851.3019619999 4.8e-05 0.02432299149 0 1 2
2458851.302011 4.8e-05 0.02834108113 0 1 2
2458851.3020600001 4.8e-05 0.03118009263 0 1 2
2458851.302108 4.8e-05 0.03275680562 0 1 2
2458851.3021570002 4.8e-05 0.03337338707 0 1 2
2458851.3022059998 4.8e-05 0.03344064917 0 1 2
2458851.3022540002 4.8e-05 0.03341533884 0 1 2
2458851.3023029999 4.8e-05 0.03338914985 0 1 2
2458851.302352 4.8e-05 0.03336260715 0 1 2
2458851.3023999999 4.8e-05 0.03333626358 0 1 2
2458851.3024490001 4.8e-05 0.03330902216 0 1 2
2458851.3024980002 4.8e-05 0.03328142996 0 1 2
2458851.3025460001 4.8e-05 0.03325405891 0 1 2
2458851.3025949998 4.8e-05 0.03322577298 0 1 2
2458851.3026919998 4.8e-05 0.03316875233 0 1 2
2458851.302741 4.8e-05 0.03313943194 0 1 2
2458851.3027900001 4.8e-05 0.03310976577 0 1 2
2458851.302838 4.8e-05 0.03308037132 0 1 2
2458851.3028870001 4.8e-05 0.0330500244 0 1 2
2458851.302935 4.8e-05 0.03301996557 0 1 2
2458851.3029840002 4.8e-05 0.03298894526 0 1 2
2458851.3030329999 4.8e-05 0.0329575838 0 1 2
2458851.3030810002 4.8e-05 0.03292653501 0 1 2
